,ent,type
290,Defining and documenting operating procedures,H_SKILL
291,create technical design specifications,H_SKILL
292,technical design documents,H_SKILL
293,Bachelor’s degree,REQUIREMENT
294,2.1,REQUIREMENT
295,verbal and written English skills,S_SKILL
296,Java,LANG_FRAM
297,Python,LANG_FRAM
298,C#,LANG_FRAM
299,C,LANG_FRAM
300,C++,LANG_FRAM
301,Go,LANG_FRAM
302,React,LANG_FRAM
303,JavaScript,LANG_FRAM
304,Relational Databases,LANG_FRAM
305,SQL,LANG_FRAM
306,cloud,LANG_FRAM
307,Create cutting edge software,H_SKILL
308,passion,S_SKILL
309,breaking technology,H_SKILL
310,empowered to take your career,S_SKILL
311,2:2,REQUIREMENT
312,Bachelor’s degree,REQUIREMENT
313,innovative,S_SKILL
314,inquisitive,S_SKILL
315,developing software for safety,H_SKILL
316,systems design,H_SKILL
317,architectural design,H_SKILL
318,coding,H_SKILL
319,Developing code,H_SKILL
320,Developing reference models,H_SKILL
321,communicate ideas,S_SKILL
322,good organisation skills,S_SKILL
323,2:1 degree,REQUIREMENT
324,Shape your path,H_SKILL
325,AWS,LANG_FRAM
326,Microsoft,LANG_FRAM
327,solve problems,S_SKILL
328,analyse data,H_SKILL
329,ETL process,H_SKILL
330,designing & managing these automated systems,H_SKILL
331,present and explain complex analysis,S_SKILL
332,analytical skills,S_SKILL
333,communication skills,S_SKILL
334,Independent,S_SKILL
335,self,S_SKILL
336,MS Office,LANG_FRAM
337,driven,S_SKILL
338,work well in a team,S_SKILL
339,2:1,REQUIREMENT
340,bachelor’s degree,REQUIREMENT
341,preferrable,REQUIREMENT
342,python,LANG_FRAM
343,SQL,LANG_FRAM
344,Front-,LANG_FRAM
345,End Data Visualisation Development Data-,H_SKILL
346,clean data,H_SKILL
347,Create data models,H_SKILL
348,Produce,S_SKILL
349,software innovation,H_SKILL
350,Define software architecture,H_SKILL
351,Develop,H_SKILL
352,BEng,REQUIREMENT
353,MEng,REQUIREMENT
354,MSc,REQUIREMENT
355,C,LANG_FRAM
356,C++,LANG_FRAM
357,github,LANG_FRAM
358,SVN™,LANG_FRAM
359,A proven team player,H_SKILL
360,passionate,S_SKILL
361,problem solver,S_SKILL
362,logical mindset,S_SKILL
363,managing the implementation of our SystmOne software,H_SKILL
364,overseeing and planning projects from start,H_SKILL
365,solve complex problems,S_SKILL
366,keen to learn,S_SKILL
367,degree,REQUIREMENT
368,coding,H_SKILL
369,problem solving,S_SKILL
370,time databases,H_SKILL
371,AI,LANG_FRAM
372,iOS,LANG_FRAM
373,2:1,REQUIREMENT
374,C,LANG_FRAM
375,C,LANG_FRAM
376,C,LANG_FRAM
377,C,LANG_FRAM
378,interests and competencies in software programming,H_SKILL
379,interest in mechatronic systems,H_SKILL
380,Cognex vision systems,LANG_FRAM
381,C,LANG_FRAM
382,Structured Text,LANG_FRAM
383,Beckhoff TwinCAT,LANG_FRAM
384,EtherCAT,LANG_FRAM
385,tracking development,H_SKILL
386,GitHub,LANG_FRAM
387,generating well commented and structured code,H_SKILL
388,program simple motion control for our loading and unloading solutions,H_SKILL
389,Python,LANG_FRAM
390,expand knowledge,S_SKILL
391,ensure the safe operation of the equipment,H_SKILL
392,C,LANG_FRAM
393,C,LANG_FRAM
394,C,LANG_FRAM
395,understanding of working with customers,S_SKILL
396,handling their attitudes and needs,S_SKILL
397,C,LANG_FRAM
398,SCRUM,H_SKILL
399,agile methodology,H_SKILL
400,MS Teams,LANG_FRAM
401,Work with the C-Tech team,S_SKILL
402,collaborate,S_SKILL
403,2:2,REQUIREMENT
404,collaborate,S_SKILL
405,systems analysis,H_SKILL
406,designing and deploying an app for patients,H_SKILL
407,2:1,REQUIREMENT
408,Microsoft,LANG_FRAM
409,work collaboratively,S_SKILL
410,Microsoft Azure,LANG_FRAM
411,Microsoft 365,LANG_FRAM
412,Power Platform,LANG_FRAM
413,development,H_SKILL
414,SharePoint,LANG_FRAM
415,cloud,LANG_FRAM
416,Power BI,LANG_FRAM
417,Collaborating,S_SKILL
418,Microsoft Azure,LANG_FRAM
419,cloud,LANG_FRAM
420,database driven solutions,H_SKILL
421,Writing code,H_SKILL
422,Python,LANG_FRAM
423,Javascript,LANG_FRAM
424,CSS,LANG_FRAM
425,HTML,LANG_FRAM
426,JSON,LANG_FRAM
427,REST APIs,LANG_FRAM
428,Power Platform,LANG_FRAM
429,Comfortable scoping projects,S_SKILL
430,solve problems,S_SKILL
431,LUR,H_SKILL
432,2:1,REQUIREMENT
433,Microsoft,LANG_FRAM
434,Power BI,LANG_FRAM
435,Power Automate,LANG_FRAM
436,Python,LANG_FRAM
437,JavaScript,LANG_FRAM
438,CSS,LANG_FRAM
439,HTML,LANG_FRAM
440,JSON,LANG_FRAM
441,REST APIs,LANG_FRAM
442,Microsoft certifications,LANG_FRAM
443,Microsoft,LANG_FRAM
444,Power Platform,LANG_FRAM
445,Microsoft Azure,LANG_FRAM
446,network infrastructure,H_SKILL
447,understanding of data security and emerging technologies,H_SKILL
448,leadership,S_SKILL
449,management,S_SKILL
450,problem,S_SKILL
451,communicate effectively,S_SKILL
452,Bachelor's degree,REQUIREMENT
453,Java,LANG_FRAM
454,AWS,LANG_FRAM
455,Agile,H_SKILL
456,attention to detail,S_SKILL
457,analytical skills,S_SKILL
458,passion,S_SKILL
459,problem solving,S_SKILL
460,drive to find appropriate solutions,S_SKILL
461,problem solving,S_SKILL
462,Portaltech,LANG_FRAM
463,Portaltech,LANG_FRAM
464,SAP,LANG_FRAM
465,Portaltech,LANG_FRAM
466,technical expertise,H_SKILL
467,SAP,LANG_FRAM
468,SAP,LANG_FRAM
469,develop and enhance product features,H_SKILL
470,Java,LANG_FRAM
471,Selenium,LANG_FRAM
472,Cucumber,LANG_FRAM
473,Create and execute regression tests,H_SKILL
474,Collaborate,S_SKILL
475,sprint planning,H_SKILL
476,2.1,REQUIREMENT
477,Bachelor's degree,REQUIREMENT
478,Java,LANG_FRAM
479,Automation testing,H_SKILL
480,application and database servers,H_SKILL
481,storage,H_SKILL
482,computing,H_SKILL
483,Git,LANG_FRAM
484,Bitbucket,LANG_FRAM
485,SAP Commerce (Hybris),LANG_FRAM
486,API Automation testing,LANG_FRAM
487,CI/CD,H_SKILL
488,Jenkins,LANG_FRAM
489,continuous integration testing,H_SKILL
490,Azure,LANG_FRAM
491,cloud,LANG_FRAM
492,continuously learning,S_SKILL
493,DevOps,H_SKILL
494,DevOps,H_SKILL
495,demonstratable understanding of key,H_SKILL
496,DevOps,H_SKILL
497,willingness to learn,S_SKILL
498,collaborative,S_SKILL
499,passionate,S_SKILL
500,Terraform,LANG_FRAM
501,Docker,LANG_FRAM
502,Python,LANG_FRAM
503,Ansible,H_SKILL
504,Cloud,LANG_FRAM
505,AWS,LANG_FRAM
506,"designing, testing, and validating hardware designs. FAQ",H_SKILL
507,OCaml,LANG_FRAM
508,OCaml,LANG_FRAM
509,RTL design,H_SKILL
510,"testing/integration, but you can also expect",H_SKILL
511,OCaml,LANG_FRAM
512,OCaml,LANG_FRAM
513,curious,S_SKILL
514,collaborative,S_SKILL
515,eager to learn,S_SKILL
516,writing,S_SKILL
517,Vivado,LANG_FRAM
518,networking,H_SKILL
519,problem solving,S_SKILL
520,Java,LANG_FRAM
521,C++,LANG_FRAM
522,Swift,LANG_FRAM
523,Python,LANG_FRAM
524,machine-learning algorithms,LANG_FRAM
525,develop models,H_SKILL
526,2:1,REQUIREMENT
527,transparency,S_SKILL
528,curious,S_SKILL
529,collaborative,S_SKILL
530,working with a team,S_SKILL
531,collaborating,S_SKILL
532,portfolio,REQUIREMENT
533,problem solving,S_SKILL
534,attention to detail,S_SKILL
535,communication,S_SKILL
536,Bachelor's Degree,REQUIREMENT
537,OS,LANG_FRAM
538,iOS,LANG_FRAM
539,MacOS,LANG_FRAM
540,Android,LANG_FRAM
541,Configuration,LANG_FRAM
542,Microsoft Active,LANG_FRAM
543,CPU usage,H_SKILL
544,disk usage,H_SKILL
545,network,H_SKILL
546,resolving problems,S_SKILL
547,audit data centres,H_SKILL
548,passion,S_SKILL
549,technical research,H_SKILL
550,2:1,REQUIREMENT
551,pig tracking,LANG_FRAM
552,passionate,S_SKILL
553,growing technology,H_SKILL
554,data analysis,H_SKILL
555,Bachelor,REQUIREMENT
556,computer skills,H_SKILL
557,VB.NET,LANG_FRAM
558,C#,LANG_FRAM
559,C++,LANG_FRAM
560,knowledge of computer networking,H_SKILL
561,OPC,LANG_FRAM
562,analytical,S_SKILL
563,problem,S_SKILL
564,Good oral and written communication,S_SKILL
565,understanding of scripting/coding,H_SKILL
566,hydraulic analysis,H_SKILL
567,pipeline engineering,H_SKILL
568,interest in pipeline or process simulation,H_SKILL
569,designing and building their solutions,H_SKILL
570,cloud,LANG_FRAM
571,SharePoint,LANG_FRAM
572,Power Platform,LANG_FRAM
573,Yammer,LANG_FRAM
574,Microsoft Teams,LANG_FRAM
575,Power Platform,LANG_FRAM
576,Power Platform,LANG_FRAM
577,Power Platform,LANG_FRAM
578,Canvas apps,H_SKILL
579,Power Automate,LANG_FRAM
580,Power Virtual,LANG_FRAM
581,Power BI,LANG_FRAM
582,SharePoint,LANG_FRAM
583,SQL,LANG_FRAM
584,Dataverse,LANG_FRAM
585,Azure,LANG_FRAM
586,building and developing solutions,H_SKILL
587,Power Platform,LANG_FRAM
588,Power Platform,LANG_FRAM
589,writing and maintaining/reviewing,S_SKILL
590,Power Platform,LANG_FRAM
591,Canvas apps,H_SKILL
592,Power Automate,LANG_FRAM
593,Power Virtual,LANG_FRAM
594,Power BI,LANG_FRAM
595,Power Platform,LANG_FRAM
596,Microsoft techs,H_SKILL
597,SharePoint,LANG_FRAM
598,SQL,LANG_FRAM
599,Dataverse,LANG_FRAM
600,Azure,LANG_FRAM
601,Bachelor's degree,REQUIREMENT
602,2.1,REQUIREMENT
603,C#,LANG_FRAM
604,JavaScript,LANG_FRAM
605,React,LANG_FRAM
606,problem-solving,S_SKILL
607,analytical,S_SKILL
608,communication,S_SKILL
609,teamwork,S_SKILL
610,testing,H_SKILL
611,track programme where together with a small cohort of like,H_SKILL
612,problem-solving,S_SKILL
613,attention to detail,S_SKILL
614,building relationships,S_SKILL
615,communicate quickly and effectively,S_SKILL
616,Java,LANG_FRAM
617,passion,S_SKILL
618,collaborate,S_SKILL
619,systems analysis,H_SKILL
620,designing and deploying an app for patients,H_SKILL
621,2:1,REQUIREMENT
622,work with cutting-edge technology,S_SKILL
623,Terrorism,H_SKILL
624,analysing stakeholder needs and expectations,H_SKILL
625,collaborating,S_SKILL
626,effective teamwork,S_SKILL
627,designing and building their solutions,H_SKILL
628,cloud,LANG_FRAM
629,SharePoint,LANG_FRAM
630,Power Platform,LANG_FRAM
631,Yammer,LANG_FRAM
632,Microsoft Teams,LANG_FRAM
633,Power Platform,LANG_FRAM
634,Power Platform,LANG_FRAM
635,Power Platform,LANG_FRAM
636,Power Apps,LANG_FRAM
637,Power Automate,LANG_FRAM
638,Power Platform,LANG_FRAM
639,Design and test,H_SKILL
640,Power Platform,LANG_FRAM
641,Power Apps,LANG_FRAM
642,Power Automate,LANG_FRAM
643,Power Platform,LANG_FRAM
644,Bachelor's degree,REQUIREMENT
645,2.1,REQUIREMENT
646,leadership,S_SKILL
647,collaborate with colleagues,S_SKILL
648,communication skills,S_SKILL
649,passion,S_SKILL
650,Creating and implementing the mathematical models,H_SKILL
651,derivation,H_SKILL
652,Involvement in key transversal regulatory topics such as FRTB or LIBOR Decommissioning Interaction with risk teams,H_SKILL
653,VaR,LANG_FRAM
654,Stressed VaR,LANG_FRAM
655,Masters,REQUIREMENT
656,PhD,REQUIREMENT
657,programming skills,S_SKILL
658,C++,LANG_FRAM
659,Python,LANG_FRAM
660,Java,LANG_FRAM
661,R,LANG_FRAM
662,project design team,S_SKILL
663,Master’s,REQUIREMENT
664,2:1,REQUIREMENT
665,problem,S_SKILL
666,solving,S_SKILL
667,solving technical challenges,H_SKILL
668,developing sustainable solutions,H_SKILL
669,hydrogen design,H_SKILL
670,time data analytics,H_SKILL
671,dedicated,S_SKILL
672,Perkbox,LANG_FRAM
673,Linux,LANG_FRAM
674,debugging kernel,H_SKILL
675,developing management tools,H_SKILL
676,resolving production issues,S_SKILL
677,Deployment automation,H_SKILL
678,scalable configuration management,H_SKILL
679,work directly with colleagues,S_SKILL
680,build and maintain systems,H_SKILL
681,problem solvers,S_SKILL
682,Bachelor's degree,REQUIREMENT
683,technical discipline,H_SKILL
684,managing/troubleshooting,H_SKILL
685,Linux,LANG_FRAM
686,Linux,LANG_FRAM
687,Technical Support,H_SKILL
688,DevOps,H_SKILL
689,analyse and deconstruct technical problems,H_SKILL
690,Knowledgeable about operating system fundamentals,H_SKILL
691,Linux,LANG_FRAM
692,Unix,LANG_FRAM
693,shell,LANG_FRAM
694,perform basic troubleshooting,H_SKILL
695,fundamental programming concepts,H_SKILL
696,experience with modern,H_SKILL
697,Linux,LANG_FRAM
698,systems programming,H_SKILL
699,C,LANG_FRAM
700,troubleshooting,H_SKILL
701,communication skills,S_SKILL
702,C grades,LANG_FRAM
703,2:1,REQUIREMENT
704,degree,REQUIREMENT
705,troubleshooting,H_SKILL
706,communication skills,S_SKILL
707,C grades,LANG_FRAM
708,Bengali 2:1,REQUIREMENT
709,degree,REQUIREMENT
710,troubleshooting,H_SKILL
711,communication skills,S_SKILL
712,C grades,LANG_FRAM
713,2:1,REQUIREMENT
714,degree,REQUIREMENT
715,designing and building their solutions,H_SKILL
716,cloud,LANG_FRAM
717,SharePoint,LANG_FRAM
718,Power Platform,LANG_FRAM
719,Yammer,LANG_FRAM
720,Microsoft Teams,LANG_FRAM
721,Microsoft,LANG_FRAM
722,Microsoft,LANG_FRAM
723,deep understanding of the full capabilities,H_SKILL
724,SharePoint,LANG_FRAM
725,SharePoint,LANG_FRAM
726,Bachelor's degree,REQUIREMENT
727,2.1,REQUIREMENT
728,leadership,S_SKILL
729,collaborate with colleagues,S_SKILL
730,communication skills,S_SKILL
731,passion,S_SKILL
732,C,LANG_FRAM
733,solve complex problems,S_SKILL
734,collaborate,S_SKILL
735,Splunk,LANG_FRAM
736,technical development,H_SKILL
737,proactive,S_SKILL
738,problem-solving,S_SKILL
739,analytical,S_SKILL
740,problem,S_SKILL
741,communications,S_SKILL
742,communicative with peers,S_SKILL
743,good team,S_SKILL
744,translate requirements into business and technology solutions,H_SKILL
745,"Analyse, design and develop best",H_SKILL
746,define system/technology requirements,H_SKILL
747,"build, prioritise and track the product backlog",H_SKILL
748,identify and reduce risk within your team,H_SKILL
749,Develop,H_SKILL
750,Agile tools and techniques,H_SKILL
751,Provide technology and gap analysis,H_SKILL
752,Provide basic user training,H_SKILL
753,Power User,LANG_FRAM
754,Splunk Admin Cribl CCOE Admin A,LANG_FRAM
755,Splunk,LANG_FRAM
756,AWS,LANG_FRAM
757,Azure,LANG_FRAM
758,GCP,LANG_FRAM
759,Elastic,LANG_FRAM
760,directed,S_SKILL
761,solving complex problems,S_SKILL
762,support of highly skilled colleagues,H_SKILL
763,evolve and adapt to reflect this. A culture,S_SKILL
764,collaboration,S_SKILL
765,pig tracking,LANG_FRAM
766,passionate,S_SKILL
767,growing technology,H_SKILL
768,Preparation of quality plans,S_SKILL
769,design reviews,H_SKILL
770,application software and hardware,H_SKILL
771,Bachelor,REQUIREMENT
772,analytical,S_SKILL
773,problem,S_SKILL
774,Good oral and written communication,S_SKILL
775,Keen to work,S_SKILL
776,hydraulic analysis,H_SKILL
777,pipeline engineering,H_SKILL
778,knowledge of computer networking,H_SKILL
779,interest in pipeline or process simulation,H_SKILL
780,CMM programming,H_SKILL
781,Ensuring Calibration readiness,H_SKILL
782,resolving calibration error,H_SKILL
783,IT skills,S_SKILL
784,CAD experience,H_SKILL
785,Dimensional visualisation. Proven,H_SKILL
786,communication skills,S_SKILL
787,work with complexity,S_SKILL
788,Willingness to learn,S_SKILL
789,problem solving,S_SKILL
790,attention to detail,S_SKILL
791,"produce neat, precise work",S_SKILL
792,power,LANG_FRAM
793,Sydney,LANG_FRAM
794,California,LANG_FRAM
795,quantitative ability,S_SKILL
796,Contribute to the development of Aurora's suite of tools Contribute,H_SKILL
797,consuming processes,H_SKILL
798,degree,REQUIREMENT
799,Power Engineering,LANG_FRAM
800,Python,LANG_FRAM
801,Matlab,LANG_FRAM
802,C++,LANG_FRAM
803,communication skills,S_SKILL
804,adapt your communication style,S_SKILL
805,C1 level,LANG_FRAM
806,data analytics,H_SKILL
807,SQL,LANG_FRAM
808,DAX,LANG_FRAM
809,VBA,LANG_FRAM
810,R,LANG_FRAM
811,Markdown,LANG_FRAM
812,PowerQueryM,LANG_FRAM
813,Knowledge of data analytics,H_SKILL
814,Power BI,LANG_FRAM
815,Tableau,LANG_FRAM
816,maintain efficient performance,H_SKILL
817,installation,H_SKILL
818,maintenance of end user Devices,H_SKILL
819,Windows,LANG_FRAM
820,Android,LANG_FRAM
821,Microsoft Systems,LANG_FRAM
822,Citrix Mobile Data Management,LANG_FRAM
823,Microsoft Intune,LANG_FRAM
824,Communications,S_SKILL
825,GPO,LANG_FRAM
826,Nash manages and delivers large frameworks,H_SKILL
827,communication skills,S_SKILL
828,work as part of a team,S_SKILL
829,"experience in, safety critical systems",H_SKILL
830,assisting and providing technical input,H_SKILL
831,laids,S_SKILL
832,CAD skills,H_SKILL
833,electrical knowledge,H_SKILL
834,advising clients,S_SKILL
835,Bachelor’s,REQUIREMENT
836,Master’s degree,REQUIREMENT
837,understanding of power system theory,H_SKILL
838,understanding of transmission and distribution grids,H_SKILL
839,clear communication skills,S_SKILL
840,communicate clearly,S_SKILL
841,creation of clear written reports,S_SKILL
842,organisation skills,S_SKILL
843,delivering complex tasks to tight deadlines,S_SKILL
844,Interpersonal skills,S_SKILL
845,confidence to seek help from colleagues,S_SKILL
846,IT and Microsoft skills,H_SKILL
847,driving license,REQUIREMENT
848,passionate,S_SKILL
849,passion,S_SKILL
850,attention to detail,S_SKILL
851,wind tunnel testing,H_SKILL
852,Produce,S_SKILL
853,written technical reports,H_SKILL
854,communicate,S_SKILL
855,Collaborate,S_SKILL
856,problem solve,S_SKILL
857,Communication,S_SKILL
858,Communicate effectively,S_SKILL
859,Present research,S_SKILL
860,2.1 degree,REQUIREMENT
861,MS Excel,LANG_FRAM
862,Word,LANG_FRAM
863,Powerpoint,LANG_FRAM
864,Google Cloud Platform,LANG_FRAM
865,application workload migration,H_SKILL
866,Google Cloud Premier Partner,LANG_FRAM
867,Machine Learning,LANG_FRAM
868,Google Cloud Platform Managed Service Partner,LANG_FRAM
869,Cloud,LANG_FRAM
870,cloud,LANG_FRAM
871,"building highly resilient, scalable and performant cloud solutions",H_SKILL
